,Make,Model,Variant,Displacement,Cylinders,Fuel_Tank_Capacity,Mileage,Power,Kerb_Weight,Comfort,Safety,Price
0,Tata,Nano Genx,Xt,624.0,2,24.0,23.6,374.68,660.0,58.90401925316885,6.0,292667
1,Tata,Nano Genx,Xe,624.0,2,24.0,23.6,374.68,725.0,9.904019253168846,5.0,236447
2,Tata,Nano Genx,Emax Xm,624.0,2,15.0,19.90211704,374.68,710.0,27.904019253168844,5.0,296661
3,Tata,Nano Genx,Xta,624.0,2,24.0,21.9,374.68,725.0,58.8585905194948,6.0,334768
4,Tata,Nano Genx,Xm,624.0,2,24.0,23.6,374.68,725.0,27.904019253168844,5.0,272223
5,Tata,Nano Genx,Xma,624.0,2,24.0,21.9,374.68,710.0,27.858590519494797,8.0,314815
6,Datsun,Redi-Go,D,799.0,3,28.0,25.17,53.244,990.467868338558,16.469810267236475,12.0,279650
7,Datsun,Redi-Go,T,799.0,3,28.0,25.17,53.244,990.467868338558,57.469810267236475,9.0,351832
8,Datsun,Redi-Go,A,799.0,3,28.0,25.17,53.244,990.467868338558,34.46981026723647,8.0,333419
9,Datsun,Redi-Go,S,799.0,3,28.0,25.17,53.244,990.467868338558,66.46981026723648,8.0,362000
10,Datsun,Redi-Go,1.0 S,999.0,3,28.0,22.5,67.048,990.467868338558,48.469810267236475,8.0,390000
11,Datsun,Redi-Go,1.0 S Amt,999.0,3,28.0,23.0,67.048,990.467868338558,69.46981026723648,9.0,437065
12,Renault,Kwid,Rxe 0.8,799.0,3,28.0,25.17,53.244,669.0,34.75791953400081,20.0,353290
13,Renault,Kwid,Std 0.8,799.0,3,28.0,25.17,53.244,669.0,22.757919534000813,11.0,283290
14,Renault,Kwid,Rxl 0.8,799.0,3,28.0,25.17,53.244,669.0,59.75791953400081,21.0,383290
15,Renault,Kwid,Rxt 0.8,799.0,3,28.0,25.17,53.244,669.0,56.7588180065974,20.0,413290
16,Renault,Kwid,Rxt 1.0,999.0,3,28.0,23.01,67.048,669.0,77.75791953400082,21.0,433290
17,Renault,Kwid,Climber 1.0 Mt,999.0,3,28.0,23.01,67.048,669.0,77.75791953400082,21.0,454490
18,Renault,Kwid,Rxt Amt 1.0,999.0,3,28.0,24.04,67.048,669.0,85.75791953400082,21.0,463290
19,Renault,Kwid,Climber Amt 1.0,999.0,3,28.0,24.04,67.048,669.0,85.75791953400082,21.0,484490
20,Renault,Kwid,Rxt (O) 1.0,999.0,3,28.0,23.01,67.048,669.0,77.75791953400082,21.0,440990
21,Renault,Kwid,Rxt (O) Amt 1.0,999.0,3,28.0,23.01,67.048,669.0,77.75791953400082,21.0,470990
22,Renault,Kwid,Climber (O) Mt 1.0,999.0,3,28.0,23.01,67.048,669.0,80.75791953400082,21.0,462190
23,Renault,Kwid,Climber (O) Amt 1.0,999.0,3,28.0,24.04,67.048,669.0,88.7579195340008,21.0,492190
24,Maruti Suzuki,Eeco,5 Str,1196.0,4,40.0,15.0,71.978,920.0,22.939215585964988,11.0,352136
25,Maruti Suzuki,Eeco,7 Str,1196.0,4,40.0,15.0,72.964,940.0,23.26332120777078,11.0,380573
26,Maruti Suzuki,Eeco,5 Str With Ac+Htr,1196.0,4,40.0,15.0,71.978,928.0,34.93921558596499,3.0,392967
27,Maruti Suzuki,Eeco,5 Str With Ac+Htr Cng,1196.0,4,40.0,19.90211704,61.132,1050.0,46.93921558596499,11.0,466057
28,Maruti Suzuki,Eeco,5 Str With Htr Cng,1196.0,4,40.0,19.90211704,61.132,1030.0,34.93921558596499,11.0,425255
29,Maruti Suzuki,Alto K10,Lxi,998.0,3,35.0,24.07,67.048,745.0,34.298190237742745,14.0,377588
30,Maruti Suzuki,Alto K10,Vxi,998.0,3,35.0,24.07,67.048,750.0,41.298190237742745,18.0,394036
31,Maruti Suzuki,Alto K10,Lx,998.0,3,35.0,24.07,67.048,740.0,34.298190237742745,14.0,360843
