,Make,Model,Variant,Price,Engine_Size_in_cc,Fuel_Type,Fuel_Tank_Capacity,Mileage,Power,Comfort,Safety
0,Tata,Nano Genx,Xt,292667,624.0,Petrol,24.0,23.6,374.68,29.711694459151722,13.5
1,Tata,Nano Genx,Xe,236447,624.0,Petrol,24.0,23.6,374.68,5.211694459151724,12.5
2,Tata,Nano Genx,Emax Xm,296661,624.0,CNG,15.0,19.90211704,374.68,14.211694459151724,12.5
3,Tata,Nano Genx,Xta,334768,624.0,Petrol,24.0,21.9,374.68,29.6889800923147,13.5
4,Tata,Nano Genx,Xm,272223,624.0,Petrol,24.0,23.6,374.68,14.211694459151724,12.5
5,Tata,Nano Genx,Xma,314815,624.0,Petrol,24.0,21.9,374.68,14.1889800923147,14.0
6,Datsun,Redi-Go,D,279650,799.0,Petrol,28.0,25.17,53.244,8.516339802035834,16.0
7,Datsun,Redi-Go,T,351832,799.0,Petrol,28.0,25.17,53.244,29.016339802035837,15.0
8,Datsun,Redi-Go,A,333419,799.0,Petrol,28.0,25.17,53.244,17.516339802035834,14.0
9,Datsun,Redi-Go,S,362000,799.0,Petrol,28.0,25.17,53.244,33.51633980203584,14.0
10,Datsun,Redi-Go,1.0 S,390000,999.0,Petrol,28.0,22.5,67.048,24.516339802035837,14.0
11,Datsun,Redi-Go,1.0 S Amt,437065,999.0,Petrol,28.0,23.0,67.048,35.01633980203584,15.0
12,Renault,Kwid,Rxe 0.8,353290,799.0,Petrol,28.0,25.17,53.244,17.685181040802114,20.0
13,Renault,Kwid,Std 0.8,283290,799.0,Petrol,28.0,25.17,53.244,11.685181040802114,15.5
14,Renault,Kwid,Rxl 0.8,383290,799.0,Petrol,28.0,25.17,53.244,30.185181040802114,21.0
15,Renault,Kwid,Rxt 0.8,413290,799.0,Petrol,28.0,25.17,53.244,28.685630277100408,20.0
16,Renault,Kwid,Rxt 1.0,433290,999.0,Petrol,28.0,23.01,67.048,39.185181040802114,21.0
17,Renault,Kwid,Climber 1.0 Mt,454490,999.0,Petrol,28.0,23.01,67.048,39.185181040802114,21.0
18,Renault,Kwid,Rxt Amt 1.0,463290,999.0,Petrol,28.0,24.04,67.048,43.185181040802114,21.0
19,Renault,Kwid,Climber Amt 1.0,484490,999.0,Petrol,28.0,24.04,67.048,43.185181040802114,21.0
20,Renault,Kwid,Rxt (O) 1.0,440990,999.0,Petrol,28.0,23.01,67.048,39.185181040802114,26.0
21,Renault,Kwid,Rxt (O) Amt 1.0,470990,999.0,Petrol,28.0,23.01,67.048,39.185181040802114,26.0
22,Renault,Kwid,Climber (O) Mt 1.0,462190,999.0,Petrol,28.0,23.01,67.048,40.685181040802114,26.0
23,Renault,Kwid,Climber (O) Amt 1.0,492190,999.0,Petrol,28.0,24.04,67.048,44.685181040802114,26.0
